"name","ruby_name","return_type","usr"
"xcalloc","xcalloc","void *","c:@F@xcalloc"
"xmalloc","xmalloc","void *","c:@F@xmalloc"
"xrealloc","xrealloc","void *","c:@F@xrealloc"
"xstrdup","xstrdup","char *","c:@F@xstrdup"
"dev_to_tty","dev_to_tty","unsigned int","c:@F@dev_to_tty"
"tty_to_dev","tty_to_dev","int","c:@F@tty_to_dev"
"escape_strlist","escape_strlist","int","c:@F@escape_strlist"
"escape_str","escape_str","int","c:@F@escape_str"
"escape_command","escape_command","int","c:@F@escape_command"
"escaped_copy","escaped_copy","int","c:@F@escaped_copy"
"pwcache_get_user","pwcache_get_user","char *","c:@F@pwcache_get_user"
"pwcache_get_group","pwcache_get_group","char *","c:@F@pwcache_get_group"
"get_ns_name","get_ns_name","const char *","c:@F@get_ns_name"
"get_ns_id","get_ns_id","int","c:@F@get_ns_id"
"openproc","openproc","PROCTAB *","c:@F@openproc"
"readproctab2","readproctab2","proc_data_t *","c:@F@readproctab2"
"readproctab3","readproctab3","proc_data_t *","c:@F@readproctab3"
"readproctab","readproctab","proc_t **","c:@F@readproctab"
"closeproc","closeproc","void","c:@F@closeproc"
"readproc","readproc","proc_t *","c:@F@readproc"
"readtask","readtask","proc_t *","c:@F@readtask"
"readeither","readeither","proc_t *","c:@F@readeither"
"read_cmdline","read_cmdline","int","c:@F@read_cmdline"
"look_up_our_self","look_up_our_self","void","c:@F@look_up_our_self"
"freeproc","freeproc","void","c:@F@freeproc"
"get_proc_stats","get_proc_stats","proc_t *","c:@F@get_proc_stats"
"signal_name_to_number","signal_name_to_number","int","c:@F@signal_name_to_number"
"signal_number_to_name","signal_number_to_name","const char *","c:@F@signal_number_to_name"
"print_given_signals","print_given_signals","int","c:@F@print_given_signals"
"strtosig","strtosig","char *","c:@F@strtosig"
"pretty_print_signals","pretty_print_signals","void","c:@F@pretty_print_signals"
"unix_print_signals","unix_print_signals","void","c:@F@unix_print_signals"
"put_slabinfo","put_slabinfo","void","c:@F@put_slabinfo"
"free_slabinfo","free_slabinfo","void","c:@F@free_slabinfo"
"get_slabinfo","get_slabinfo","int","c:@F@get_slabinfo"
"uptime","uptime","int","c:@F@uptime"
"getbtime","getbtime","unsigned long","c:@F@getbtime"
"loadavg","loadavg","void","c:@F@loadavg"
"getstat","getstat","void","c:@F@getstat"
"meminfo","meminfo","void","c:@F@meminfo"
"vminfo","vminfo","void","c:@F@vminfo"
"getpartitions_num","getpartitions_num","unsigned int","c:@F@getpartitions_num"
"getdiskstat","getdiskstat","unsigned int","c:@F@getdiskstat"
"getslabinfo","getslabinfo","unsigned int","c:@F@getslabinfo"
"get_pid_digits","get_pid_digits","unsigned int","c:@F@get_pid_digits"
"cpuinfo","cpuinfo","void","c:@F@cpuinfo"
"procps_linux_version","procps_linux_version","int","c:@F@procps_linux_version"
"lookup_wchan","lookup_wchan","const char *","c:@F@lookup_wchan"
"print_uptime","print_uptime","void","c:@F@print_uptime"
"sprint_uptime","sprint_uptime","char *","c:@F@sprint_uptime"
